TimeStamp	TMP	Permeability	Permeability TC	dP module	dP module TC	dP module TC abs	Flux	Vcrossflow	Recovery	Active program number	Mem. retention	Sys. retention	00-FIT-01	01-FIT-01	01-FIT-02	01-FIT-03	01-PIT-01	01-PIT-02	01-PIT-03	00-LT-01	02-LT-01	00-QIT-01	00-QIT-02	01-QIT-01	01-QIT-02	01-TIT-01	01-TIT-02	00-P-01	Power_00-P-01	00-FC-01	00-FC-02	01-P-01	Power_01-P-01	01-FC-01	02-P-01	02-FC-01	02-FC-02	02-FC-03	00-COV-01	00-SC-01	00-COV-02	00-SC-02	04-SC-01	01-HE-01	PV FIL DIR.	00-AV-01	00-AV-02	00-AV-03	00-AV-04	01-AV-01	01-AV-02	01-AV-03	01-AV-04	01-AV-06	01-AV-05	01-AV-07	01-AV-08	01-AV-09	01-AV-10	01-AV-11	01-AV-12	01-AV-13	01-AV-14	01-AV-15	03-AV-01	03-AV-02	03-AV-03	03-AV-04	03-AV-05	Total permeate	Total permeate BW	Total feed	PV used perm dosing	Net recovery	Specific_power	Filtration timer	Chemical timer
2026-02-08 13:00:02 74	0	NaN	NaN	-0.26	-0.17	0.17	0	0.16	0	21	0	0	3.52	3.53	0	0	0.039	0.454	0.3	76	104	8.79	0.836	1.141	0.656	5.01	5.44	1	0	49.2	0	0	0.05	3.3	0	50	47.6	49.8	0	0	0	14.1	0.6	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.5	0	55.015390265	14.6710098125
2026-02-08 13:00:07 75	0	NaN	NaN	0.11	0.07	0.07	0	0.14	0	21	0	0	2.54	3.13	0	0	0	0.05	0.22	103	103	8.78	0.836	1.141	0.657	5.03	5.44	0	0	49.2	0	0	0.01	3.3	0	50	47.6	49.8	0	0	0	14.1	0.6	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0	55.015390265	14.6710098125
2026-02-08 13:00:12 76	-0.07	11.85	17.97	0.16	0.11	0.11	-0.8	0.03	100	10	42.35	21.25	0.79	0.68	-0.04	0	0	0	0.08	121	103	8.78	0.834	1.139	0.657	5.05	5.44	0	0	49.2	0	0	0	3.3	0	50	47.6	49.8	0	0	0	14.1	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0	55.015390265	14.6710098125
2026-02-08 13:00:17 77	-0.03	-4.83	-7.32	0.05	0.03	0.03	0.2	0	24.4	10	42.6	20.64	0	0.01	0.01	0.02	0.01	0.123	0.11	101	103	8.78	0.827	1.144	0.656	5.07	5.57	0	0	49.2	0	0	0	3.3	0	50	47.6	49.8	0	0	0	9.6	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0	55.015390265	14.6710098125
2026-02-08 13:00:22 79	3.44	3.78	5.73	-0.02	-0.01	0.01	13	0	83.7	10	40.9	20.66	1.62	0	0.65	0.13	3.52	3.703	0.18	92	103	8.78	0.828	1.111	0.657	5.07	5.64	1	0.2	46.7	0	0	0	3.1	0	50	47.6	49.8	0	0	0	9.6	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.31	55.015390265	14.6710098125
2026-02-08 13:00:27 79	3.64	5.59	8.47	0.44	0.29	0.29	20.4	0.18	85.5	10	13.53	20.81	1.21	3.97	1.02	0.17	3.937	3.657	0.16	98	103	8.77	0.829	0.759	0.656	5.09	5.51	1	0.15	46.7	0	1	-0.04	3.1	0	50	47.6	49.8	0	0	0	9.6	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.11	55.015390265	14.6710098125
2026-02-08 13:00:32 80	3.64	5.58	8.46	0.44	0.29	0.29	20.3	0.2	85.5	10	12.39	20.99	1.18	4.41	1.02	0.17	3.932	3.655	0.16	98	103	8.77	0.829	0.748	0.655	5.07	5	1	0.15	46.5	0	1	-0.04	3.3	0	50	47.6	49.8	0	0	0	9.8	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.11	0.0604044766666667	14.6720257394722
2026-02-08 13:00:37 80	3.64	5.56	8.44	0.44	0.29	0.29	20.2	0.2	85.4	10	20.09	20.86	1.18	4.44	1.01	0.17	3.93	3.648	0.16	98	103	8.78	0.829	0.821	0.656	4.98	4.92	1	0.15	46.4	0	1	-0.04	3.4	0	50	47.6	49.8	0	0	0	10.1	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.1	0.143765238333333	14.6734150853056
2026-02-08 13:00:42 80	3.65	5.54	8.41	0.44	0.29	0.29	20.2	0.2	85.4	10	16.18	20.2	1.18	4.43	1.01	0.17	3.934	3.655	0.16	98	103	8.78	0.829	0.789	0.662	5	4.92	1	0.15	46.4	0	1	-0.04	3.5	0	50	47.6	49.8	0	0	0	10.3	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.11	0.227120651666667	14.6748043425
2026-02-08 13:00:47 83	3.65	5.52	8.28	0.44	0.3	0.3	20.1	0.2	85.4	10	14.39	19.55	1.17	4.44	1.01	0.17	3.938	3.655	0.16	98	103	8.78	0.829	0.779	0.667	5.36	4.95	1	0.15	46.4	0	1	-0.04	3.7	0	50	47.6	49.8	0	0	0	10.5	0.6	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	14.8	-0.2	18.8	0.1	79.4	0.1	0.310906561666667	14.6762007730556
